id,make,model,colour,year,licence_number,location,sold_date,bought_price,for_sale_price,sold_price,seller_fname,seller_lname,seller_phone,seller_email,purchaser_fname,purchaser_lname,purchaser_phone,purchaser_email,image_url
50,Acura,RL,Orange,1999,LP37 DVW,Laau,5/23/2022,£23245.22,£23245.22,$9.82,Angel,Cooling,491-535-2016,bsabbatier1d@purevolume.com,Brion,Sabbatier,419-167-1640,bsabbatier1d@comsenz.com,http://dummyimage.com/200x200.png/dddddd/000000
51,Saturn,S-Series,Green,2000,XW40 OYV,Dallas,,£11478.52,£11478.52,$4.69,Major,Atcherley,214-707-1839,hbendare1e@unicef.org,Husein,Bendare,861-350-5607,hbendare1e@alibaba.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
52,Audi,S5,Mauv,2010,XI20 KJI,Nungga,,£25144.11,£25144.11,$0.28,Conney,Gull,821-355-6182,cbottoner1f@tamu.edu,Chucho,Bottoner,194-163-4887,cbottoner1f@plala.or.jp,http://dummyimage.com/200x200.png/cc0000/ffffff
53,Mitsubishi,Endeavor,Turquoise,2006,IF69 HNB,Bayt Ūlā,,£17073.42,£17073.42,$3.98,Salmon,Wilkennson,571-899-7872,beirwin1g@homestead.com,Brod,Eirwin,423-720-5925,beirwin1g@home.pl,http://dummyimage.com/200x200.png/dddddd/000000
54,Lexus,RX,Aquamarine,2001,WE07 HGN,‘Alāqahdārī Kirān wa Munjān,,£14449.22,£14449.22,$4.97,Carrol,Randell,316-760-3067,bdoggerell1h@businessweek.com,Brandi,Doggerell,593-660-9958,bdoggerell1h@buzzfeed.com,http://dummyimage.com/200x200.png/cc0000/ffffff
55,Subaru,Leone,Fuscia,1987,AL32 NFW,Gierłoż,,£6364.85,£6364.85,$4.44,Myriam,Gristhwaite,886-979-2789,speyto1i@networksolutions.com,Stinky,Peyto,833-182-3272,speyto1i@hao123.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
56,Chevrolet,Aveo,Aquamarine,2010,IB72 TMQ,Qiting,,£27352.06,£27352.06,$3.53,Theo,Stairmand,953-801-4476,dkiebes1j@hugedomains.com,Deborah,Kiebes,742-327-8611,dkiebes1j@google.ca,http://dummyimage.com/200x200.png/cc0000/ffffff
57,Mitsubishi,Lancer Evolution,Maroon,2008,ZE67 BNH,Huangjingba,,£25169.59,£25169.59,$4.54,Donielle,Shenfisch,845-830-7076,bosbaldeston1k@aboutads.info,Bevon,Osbaldeston,159-219-0852,bosbaldeston1k@digg.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
58,Dodge,Caravan,Fuscia,2007,JL84 SPY,Ké-Macina,,£9726.22,£9726.22,$2.73,Ingunna,Gorham,733-251-0748,bwolland1l@technorati.com,Brina,Wolland,178-629-5697,bwolland1l@microsoft.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
59,Ford,Probe,Mauv,1994,KL58 CAH,Terawas,3/16/2022,£9308.74,£9308.74,$9.87,Elle,Plumley,326-317-8083,tgodsafe1m@1und1.de,Teressa,Godsafe,176-738-6060,tgodsafe1m@furl.net,http://dummyimage.com/200x200.png/cc0000/ffffff
60,Chevrolet,Tahoe,Violet,2002,JK90 FIR,Wufeng,,£13386.90,£13386.90,$1.40,Franklin,Petherick,356-725-3953,qadao1n@theglobeandmail.com,Quinn,Adao,186-893-4334,qadao1n@creativecommons.org,http://dummyimage.com/200x200.png/ff4444/ffffff
61,Mitsubishi,Starion,Indigo,1985,QV41 NBJ,Cielądz,3/27/2022,£24643.82,£24643.82,$0.68,Giles,Dayton,701-633-6850,frubega1o@usnews.com,Frannie,Rubega,423-740-7997,frubega1o@is.gd,http://dummyimage.com/200x200.png/cc0000/ffffff
62,Audi,RS 6,Teal,2003,CQ96 GRY,Curpahuasi,,£5311.68,£5311.68,$2.71,Alanson,Drains,857-534-2819,akermit1p@feedburner.com,Alyssa,Kermit,201-112-8569,akermit1p@hexun.com,http://dummyimage.com/200x200.png/dddddd/000000
63,Cadillac,STS-V,Crimson,2009,RF45 UKJ,Tenggong,4/20/2022,£23065.90,£23065.90,$4.30,Birch,Castenda,258-443-9823,sbaldack1q@huffingtonpost.com,Sascha,Baldack,343-972-1493,sbaldack1q@drupal.org,http://dummyimage.com/200x200.png/dddddd/000000
64,Land Rover,Defender,Goldenrod,1993,DR02 PVT,Hongyang,,£20734.55,£20734.55,$3.69,Nisse,Sibery,560-642-7656,hhubbert1r@sphinn.com,Hermon,Hubbert,921-282-8131,hhubbert1r@disqus.com,http://dummyimage.com/200x200.png/ff4444/ffffff
65,Toyota,Camry,Khaki,2007,JS82 VYL,Saint-Lin-Laurentides,,£13112.16,£13112.16,$5.97,Korey,Britt,551-350-9411,hcottee1s@ox.ac.uk,Husein,Cottee,658-416-4988,hcottee1s@plala.or.jp,http://dummyimage.com/200x200.png/dddddd/000000
66,Infiniti,G,Green,2003,YT22 HMT,Hulu,,£27700.76,£27700.76,$1.89,Delora,O'Henecan,546-259-6248,agriswood1t@bigcartel.com,Adda,Griswood,161-611-6767,agriswood1t@sogou.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
67,Chevrolet,S10,Maroon,1996,ZH64 YMV,Semongkat,,£13569.33,£13569.33,$6.79,Matti,Martin,127-808-8831,cfishlock1u@stumbleupon.com,Ciro,Fishlock,446-840-1811,cfishlock1u@earthlink.net,http://dummyimage.com/200x200.png/dddddd/000000
68,Audi,S6,Fuscia,2002,RO23 OBK,Wengtian,,£28830.03,£28830.03,$5.24,Nevin,Minguet,617-145-8736,jlatore1v@purevolume.com,Jarret,Latore,662-510-6481,jlatore1v@flavors.me,http://dummyimage.com/200x200.png/cc0000/ffffff
69,Honda,CR-V,Mauv,1999,DH90 NCS,Bobota,,£16309.99,£16309.99,$8.10,Gannon,Hayhurst,101-919-0060,bcroser1w@fc2.com,Brandie,Croser,813-524-2873,bcroser1w@businessweek.com,http://dummyimage.com/200x200.png/ff4444/ffffff
70,Mercedes-Benz,R-Class,Blue,2009,DH76 DPS,Vamvakoú,11/26/2022,£10627.76,£10627.76,$3.60,Hedvige,Storton,823-252-2001,yromanin1x@auda.org.au,Yurik,Romanin,426-954-5138,yromanin1x@comsenz.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
71,Ford,Crown Victoria,Green,2003,XE72 FLT,Mama,,£5553.37,£5553.37,$7.54,Carmelina,Kroch,159-541-1251,ecawood1y@huffingtonpost.com,Edvard,Cawood,663-632-1074,ecawood1y@livejournal.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
72,Pontiac,Sunbird,Green,1990,KC18 KWI,Drammen,,£22098.82,£22098.82,$0.12,Noreen,Bercevelo,418-537-1088,leberdt1z@nih.gov,Lora,Eberdt,347-848-8264,leberdt1z@ocn.ne.jp,http://dummyimage.com/200x200.png/dddddd/000000
73,Volkswagen,Eos,Red,2011,CZ31 YFN,Shingū,,£16949.17,£16949.17,$3.95,Byran,Skelhorne,978-860-8278,jgut20@soundcloud.com,Johan,Gut,391-934-2169,jgut20@theguardian.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
74,Chevrolet,Silverado 3500,Indigo,2009,BL76 DZS,Taoyuan,,£13635.18,£13635.18,$2.70,Madelyn,Wisdish,723-840-6058,vboath21@accuweather.com,Vittoria,Boath,533-469-6797,vboath21@craigslist.org,http://dummyimage.com/200x200.png/cc0000/ffffff
75,Ford,Focus,Aquamarine,2006,MZ19 AIL,Andamui,,£5410.20,£5410.20,$4.84,Willamina,Guiu,816-231-1101,mmeece22@google.fr,Magdalene,Meece,518-102-1207,mmeece22@1und1.de,http://dummyimage.com/200x200.png/cc0000/ffffff
76,Plymouth,Prowler,Purple,1999,MU67 AYC,Liqi,2/26/2023,£5807.45,£5807.45,$4.38,Delores,Patridge,515-367-4617,rflaxon23@lycos.com,Rudolf,Flaxon,713-155-5425,rflaxon23@furl.net,http://dummyimage.com/200x200.png/dddddd/000000
77,Pontiac,Montana,Aquamarine,2001,RJ56 BPZ,Gołkowice,,£10856.55,£10856.55,$5.86,Armand,Kays,589-317-4361,rswinyard24@twitter.com,Rhiamon,Swinyard,874-663-1683,rswinyard24@dagondesign.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
78,Lexus,ES,Purple,2008,GE42 FWL,Phultala,,£22788.86,£22788.86,$1.36,Viki,Atchly,469-406-2162,mbollini25@sciencedirect.com,Matthew,Bollini,999-176-2376,mbollini25@acquirethisname.com,http://dummyimage.com/200x200.png/cc0000/ffffff
79,Cadillac,CTS-V,Puce,2012,JL16 UZM,Yanling,,£26456.90,£26456.90,$9.13,Zachery,Arlow,980-846-0941,bartin26@paypal.com,Brit,Artin,764-578-7847,bartin26@theguardian.com,http://dummyimage.com/200x200.png/cc0000/ffffff
80,GMC,Safari,Khaki,1996,QB99 LBO,Karuri,12/22/2022,£10783.46,£10783.46,$3.33,Georgeanna,Housbey,208-522-3495,lgors27@123-reg.co.uk,Linnell,Gors,254-686-8091,lgors27@ycombinator.com,http://dummyimage.com/200x200.png/ff4444/ffffff
81,Honda,Accord,Violet,2006,GF37 EUG,Smyków,,£20441.43,£20441.43,$5.81,Lolly,Vosper,887-967-4384,agadney28@reverbnation.com,Alexi,Gadney,292-486-6010,agadney28@xing.com,http://dummyimage.com/200x200.png/cc0000/ffffff
82,Toyota,Land Cruiser,Yellow,2004,IC48 PRF,Hila,,£28942.95,£28942.95,$5.65,Quinn,Gavin,357-328-7515,aambrosetti29@squidoo.com,Aline,Ambrosetti,645-750-9025,aambrosetti29@google.de,http://dummyimage.com/200x200.png/cc0000/ffffff
83,Suzuki,SJ,Violet,1990,RZ96 GIW,Rezé,10/22/2022,£17303.74,£17303.74,$0.08,Inna,des Remedios,739-674-0651,hwitton2a@networksolutions.com,Hermon,Witton,312-820-8439,hwitton2a@storify.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
84,Volvo,XC90,Blue,2010,JM31 SJL,Langxi,,£5627.76,£5627.76,$1.11,Jody,Jandl,237-708-0016,jlazenbury2b@a8.net,Jarrod,Lazenbury,537-343-0160,jlazenbury2b@google.fr,http://dummyimage.com/200x200.png/5fa2dd/ffffff
85,Cadillac,Escalade EXT,Green,2005,VH11 DMN,Naviraí,,£22051.74,£22051.74,$9.48,Alysia,Ginsie,103-323-9998,gluna2c@boston.com,Gerhardine,Luna,560-462-4042,gluna2c@wikia.com,http://dummyimage.com/200x200.png/ff4444/ffffff
86,Toyota,TundraMax,Green,2012,QM67 KJU,Kiviõli,3/19/2022,£23839.59,£23839.59,$9.06,Gualterio,Mendes,779-992-3156,wmacci2d@diigo.com,Web,Macci,249-171-0343,wmacci2d@ustream.tv,http://dummyimage.com/200x200.png/ff4444/ffffff
87,Audi,S4,Indigo,2009,HW20 VKF,Seminole,,£11898.24,£11898.24,$4.58,Caprice,Minall,317-792-6672,kpolleye2e@about.com,Kelsy,Polleye,717-236-7936,kpolleye2e@360.cn,http://dummyimage.com/200x200.png/5fa2dd/ffffff
88,BMW,3 Series,Khaki,1998,DS47 HZW,Nevers,,£5082.86,£5082.86,$7.10,Mill,Wortt,482-624-3786,asenn2f@salon.com,Arlette,Senn,212-439-1663,asenn2f@eventbrite.com,http://dummyimage.com/200x200.png/cc0000/ffffff
89,Nissan,240SX,Khaki,1994,NX14 ZPE,Żelazków,,£6831.11,£6831.11,$4.00,Ginevra,Rabbage,700-678-5004,dbreton2g@g.co,Devlin,Breton,781-839-2387,dbreton2g@homestead.com,http://dummyimage.com/200x200.png/dddddd/000000
90,Volkswagen,Passat,Aquamarine,2010,QJ96 KTD,Tigbinan,,£15737.73,£15737.73,$0.65,Nertie,Birchenhead,525-610-9051,lpaling2h@meetup.com,Lura,Paling,557-733-9037,lpaling2h@livejournal.com,http://dummyimage.com/200x200.png/cc0000/ffffff
91,Mitsubishi,Montero Sport,Aquamarine,2003,DW02 CQP,Sumbergedong,,£11309.78,£11309.78,$6.76,Antonia,Catley,618-968-4868,lsagrott2i@ed.gov,Liv,Sagrott,103-219-2234,lsagrott2i@virginia.edu,http://dummyimage.com/200x200.png/5fa2dd/ffffff
92,Cadillac,Escalade EXT,Turquoise,2004,ZC09 KDF,Vilar do Monte,,£25656.24,£25656.24,$4.94,Kelsi,Zannetti,791-530-7094,kearthfield2j@xrea.com,Kevin,Earthfield,370-516-8877,kearthfield2j@instagram.com,http://dummyimage.com/200x200.png/dddddd/000000
93,Audi,V8,Goldenrod,1992,QJ07 EMR,Al Jubayhah,,£17338.10,£17338.10,$9.52,Conrado,Siaspinski,774-498-1042,dgosnoll2k@instagram.com,Del,Gosnoll,821-868-1573,dgosnoll2k@marriott.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
94,Chevrolet,Blazer,Turquoise,1998,KE73 WOH,Xiaoshi,,£7490.43,£7490.43,$6.12,Palmer,Greste,622-718-7275,dnalder2l@ask.com,Dalt,Nalder,194-703-1408,dnalder2l@i2i.jp,http://dummyimage.com/200x200.png/dddddd/000000
95,Mitsubishi,Montero,Green,1995,GM81 IZU,Rochefort,8/3/2022,£9572.49,£9572.49,$0.81,Joan,Whittock,758-570-9495,bahmad2m@wikimedia.org,Barbi,Ahmad,992-427-8321,bahmad2m@bbc.co.uk,http://dummyimage.com/200x200.png/5fa2dd/ffffff
96,Chevrolet,Corvette,Khaki,2003,RQ02 GWZ,Ożarowice,,£5652.99,£5652.99,$5.74,Helge,Tabrett,861-733-7243,kweatherhogg2n@delicious.com,Kate,Weatherhogg,850-479-1313,kweatherhogg2n@hibu.com,http://dummyimage.com/200x200.png/ff4444/ffffff
97,Ford,Five Hundred,Turquoise,2006,PR22 BPU,Krasnyy Profintern,,£29050.10,£29050.10,$3.16,Gratiana,Slimm,444-808-2618,ctales2o@newyorker.com,Coriss,Tales,469-730-4966,ctales2o@topsy.com,http://dummyimage.com/200x200.png/dddddd/000000
